GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
achieveit,com.ecnu.achieveit.controller,EmployeeController,75,3,12,0,24,1,12,1,6,1
achieveit,com.ecnu.achieveit.controller,LoginController,36,3,4,0,9,1,4,1,2,1
achieveit,com.ecnu.achieveit.controller,ProjectBasicInfoController,146,3,20,0,25,1,16,1,6,1
achieveit,com.ecnu.achieveit.controller,NewProjectController,209,3,26,0,38,1,20,1,7,1
achieveit,com.ecnu.achieveit.controller,ProjectMemberController,222,3,32,0,43,1,22,1,6,1
achieveit,com.ecnu.achieveit.controller,ProjectDeviceController,26,82,8,8,7,15,8,7,0,7
achieveit,com.ecnu.achieveit.controller,RiskController,120,241,28,28,38,46,29,13,1,13
achieveit,com.ecnu.achieveit.controller,ClientController,25,3,0,0,4,1,2,1,2,1
achieveit,com.ecnu.achieveit.controller,ProjectFunctionController,79,93,6,8,21,17,7,6,1,5
achieveit,com.ecnu.achieveit.controller,TimesheetController,31,185,13,13,1,43,12,12,0,11
achieveit,com.ecnu.achieveit.controller,ReviewDefectConroller,34,103,12,8,8,23,10,8,0,8
achieveit,com.ecnu.achieveit.constant,ConstantUtil,39,0,0,0,2,0,2,0,2,0
achieveit,com.ecnu.achieveit.constant,ProjectState,22,116,5,5,2,15,6,5,2,4
achieveit,com.ecnu.achieveit.constant,TimesheetState,26,59,2,0,4,9,4,3,3,3
achieveit,com.ecnu.achieveit.constant,EmployeeTitle,11,126,0,0,5,15,3,3,3,3
achieveit,com.ecnu.achieveit.constant,RestCode,0,57,0,0,0,10,0,4,0,4
achieveit,com.ecnu.achieveit.constant,ProjectRole,73,121,11,1,11,14,11,4,5,4
achieveit,com.ecnu.achieveit,AchieveitApplication,5,3,0,0,2,1,1,1,1,1
achieveit,com.ecnu.achieveit.config,ActivitiConfig,0,16,0,0,0,5,0,2,0,2
achieveit,com.ecnu.achieveit.config,WebConfig.new WebMvcConfigurer() {...},0,45,0,0,0,7,0,2,0,2
achieveit,com.ecnu.achieveit.config,WebConfig,0,21,0,0,0,4,0,3,0,3
achieveit,com.ecnu.achieveit.model,Activity,46,0,0,0,6,0,8,0,8,0
achieveit,com.ecnu.achieveit.model,ProjectMember,154,34,8,0,26,3,14,9,10,9
achieveit,com.ecnu.achieveit.model,ProjectMemberKey,17,26,0,0,1,5,1,6,1,6
achieveit,com.ecnu.achieveit.model,RiskRelatedKey,12,46,0,0,1,6,1,8,1,8
achieveit,com.ecnu.achieveit.model,ProjectId,108,0,12,0,26,0,12,0,6,0
achieveit,com.ecnu.achieveit.model,ProjectRisk,56,106,0,0,11,11,2,18,2,18
achieveit,com.ecnu.achieveit.model,Device,0,26,0,0,0,5,0,6,0,6
achieveit,com.ecnu.achieveit.model,Employee,64,30,0,0,7,3,8,8,8,8
achieveit,com.ecnu.achieveit.model,ProjectBasicInfo,77,101,0,0,1,16,1,29,1,29
achieveit,com.ecnu.achieveit.model,ProjectDeviceKey,26,17,0,0,2,4,2,5,2,5
achieveit,com.ecnu.achieveit.model,AssetItem,98,7,12,0,21,3,10,2,4,2
achieveit,com.ecnu.achieveit.model,ProjectRiskKey,9,34,0,0,1,5,1,6,1,6
achieveit,com.ecnu.achieveit.model,ProjectFunctionKey,28,87,3,5,7,14,4,11,1,10
achieveit,com.ecnu.achieveit.model,Client,94,0,0,0,10,0,16,0,16,0
achieveit,com.ecnu.achieveit.model,Timesheet,184,322,81,13,18,66,46,27,1,25
achieveit,com.ecnu.achieveit.model,ProjectDevice,51,112,5,5,10,12,7,17,2,17
achieveit,com.ecnu.achieveit.model,ReviewDefectInfo,6,135,6,4,0,14,5,21,0,21
achieveit,com.ecnu.achieveit.intercepter,TokenInterceptor,88,3,12,0,16,1,7,1,1,1
achieveit,com.ecnu.achieveit.util,LogUtil,10,12,3,1,4,5,4,2,2,2
achieveit,com.ecnu.achieveit.util,Validate,192,0,28,0,40,0,44,0,30,0
achieveit,com.ecnu.achieveit.util,GlobalExceptionHandler,8,3,0,0,2,1,1,1,1,1
achieveit,com.ecnu.achieveit.util,JwtConfig,62,12,0,0,14,4,6,1,6,1
achieveit,com.ecnu.achieveit.util,RestResponse,45,63,0,0,17,21,6,10,6,10
achieveit,com.ecnu.achieveit.util,LogUtil.Log,3,13,0,0,1,2,1,1,1,1
achieveit,com.ecnu.achieveit.service.impl,EmployeeServiceImpl,84,19,9,1,16,5,14,3,9,3
achieveit,com.ecnu.achieveit.service.impl,DeviceServiceImpl,17,16,3,1,2,3,4,3,2,3
achieveit,com.ecnu.achieveit.service.impl,LoginServiceImpl,55,3,10,0,18,1,7,1,2,1
achieveit,com.ecnu.achieveit.service.impl,ProjectMemberServiceImpl,186,8,30,0,39,2,25,2,10,2
achieveit,com.ecnu.achieveit.service.impl,ReviewDefectServiceImpl,16,98,14,12,4,17,13,8,0,8
achieveit,com.ecnu.achieveit.service.impl,ProjectRiskServiceImpl,9,146,10,14,1,23,10,14,0,12
achieveit,com.ecnu.achieveit.service.impl,ProjectIdServiceImpl,35,3,6,0,7,1,7,1,4,1
achieveit,com.ecnu.achieveit.service.impl,ProjectDeviceServiceImpl,6,83,3,3,3,19,3,7,0,7
achieveit,com.ecnu.achieveit.service.impl,ExcelServiceImpl,167,299,17,17,43,70,16,7,2,4
achieveit,com.ecnu.achieveit.service.impl,ProjectServiceImpl,3,117,3,9,0,26,3,15,0,12
achieveit,com.ecnu.achieveit.service.impl,ProjectFunctionServiceImpl,4,105,2,14,2,25,2,11,0,5
achieveit,com.ecnu.achieveit.service.impl,TimesheetServiceImpl,80,65,4,2,23,13,9,10,6,10
achieveit,com.ecnu.achieveit.service.impl,IMailServiceImpl,302,3,0,0,78,1,8,1,8,1
achieveit,com.ecnu.achieveit.service.impl,ClientServiceImpl,4,3,0,0,1,1,1,1,1,1
achieveit,com.ecnu.achieveit.service.impl,NewProjectFlowServiceImpl,956,3,36,0,196,1,31,1,13,1
achieveit,com.ecnu.achieveit.modelview,FunctionItem,0,53,0,0,0,6,0,7,0,7
achieveit,com.ecnu.achieveit.modelview,ProjectBasicInfoView,40,0,0,0,5,0,6,0,6,0
achieveit,com.ecnu.achieveit.modelview,FunctionView,16,173,1,11,2,29,2,13,1,8
achieveit,com.ecnu.achieveit.modelview,LoginView,40,0,0,0,5,0,6,0,6,0
achieveit,com.ecnu.achieveit.aop,WebLogAspect,1,112,0,0,1,18,1,3,1,3
